,Windkraftanlage_options,Bhkw_options,Pv_options,Waermepumpe_options,Gastherme_options,Waermebedarfssenkung_options,Vorlauf_temp_options,Wetter_typ,Netzbezug,Netzeinspeisung,Gasbezug,max_gas,max_p_el,Volllaststunden_bhkw,Cop,Stromproduktion,Stromverbrauch_hp
270,Aus,Aus,25 kWp,Sole/Wasser 200,Normal weiter,0%,75,zukunft Normal,1669237.8309003622,0.0,4165502.4776580827,1268.885,383.2693300024279,0.0,,33787.194099637694,0.0
271,Aus,Aus,500 kWp,Sole/Wasser 200,Normal weiter,0%,55,zukunft Normal,1359273.8914075014,20702.359757817336,3925826.1780383694,1268.885,398.82174605216125,0.0,2.9996793623520004,436364.06898217555,71910.57563185974
272,Aus,Aus,500 kWp,Sole/Wasser 200,Normal weiter,0%,65,zukunft Normal,1306692.869565116,14178.68306338442,4112707.269235784,1268.885,370.8074556184423,0.0,1.8379013643824904,436364.06898217555,25853.2304839076
273,Aus,Aus,500 kWp,Sole/Wasser 200,Normal weiter,0%,75,zukunft Normal,1306692.869565116,4475.084281520799,4125994.8895850037,1268.885,370.8074556184423,0.0,1.0,436364.06898217555,35556.829265771215
274,Aus,Aus,1.000 kWp,Sole/Wasser 200,Normal weiter,0%,55,zukunft Normal,1187526.6594672368,207665.86503738273,3785726.3336338135,1268.885,392.9928307684783,0.0,2.9522217369585673,838940.9438647135,115776.71329456769
275,Aus,Aus,1.000 kWp,Sole/Wasser 200,Normal weiter,0%,65,zukunft Normal,1136658.7846739364,184645.66276373848,3985508.3859341657,1268.885,360.4595518844883,0.0,1.842334240472537,838940.9438647135,87929.04077491132
276,Aus,Aus,1.000 kWp,Sole/Wasser 200,Normal weiter,0%,75,zukunft Normal,1136658.7846739364,126626.32769857999,4003333.7343466296,1268.885,360.4595518844883,0.0,1.0000239340809234,838940.9438647135,145948.3758400698
277,Aus,Aus,1.500 kWp,Sole/Wasser 200,Normal weiter,0%,55,zukunft Normal,1102572.8211083123,496811.37405568315,3694582.1969610387,1268.885,387.1639154847954,0.0,2.938064422073418,1241517.8187472513,144254.24079988044
278,Aus,Aus,1.500 kWp,Sole/Wasser 200,Normal weiter,0%,65,zukunft Normal,1053415.1161701395,463490.36047850235,3902086.7165807798,1268.885,356.1277099820951,0.0,1.8461198333518445,1241517.8187472513,128417.54943888853
279,Aus,Aus,1.500 kWp,Sole/Wasser 200,Normal weiter,0%,75,zukunft Normal,1053415.1161701395,360648.0274419026,3908526.6578572444,1268.885,356.1277099820951,0.0,1.0000793710740918,1241517.8187472513,231259.88247548827
280,Ein,Aus,25 kWp,Sole/Wasser 200,Zwei-Stoff-Brenner,0%,55,zukunft Normal,1644061.611852937,0.0,3921856.008759879,1248.083606557377,411.22286986955777,0.0,3.0447959747003264,111661.1909982627,52697.777851199746
