"Time","Gesamtverbrauch der Hochschule in kW","Netzbezug der Hochschule in kW"
1622325600000,159.67432253333337,58.09672926666667
1622326500000,164.38433013333335,62.29250473333333
1622327400000,158.00041633333336,56.4977564
1622328300000,162.88524779999997,60.635265933333336
1622329200000,158.70079086666664,56.79255746666667
1622330100000,161.27176766666665,59.8322422
1622331000000,155.2744036,53.97291206666667
1622331900000,160.6087941333333,59.63680886666666
1622332800000,159.19648920000003,58.22061540000001
1622333700000,154.1639966,53.18179526666666
1622334600000,160.00400739999998,58.99391979999999
1622335500000,158.27536733333335,57.29237666666666
1622336400000,159.47071680000002,58.48278006666667
1622337300000,162.63909819999998,61.629394133333335
1622338200000,159.08305966666668,58.07355973333334
1622339100000,162.2645006,61.28540466666666
1622340000000,154.67450186666667,53.690496399999994
1622340900000,161.29440046666667,60.306225866666665
1622341800000,156.55047135714287,55.53154850000001
1622342700000,156.01163719999997,55.038814466666665
1622343600000,156.23895193333334,55.26833040000001
1622344500000,147.61538760000002,46.63224333333333
1622345400000,151.2470738,50.22979206666667
1622346300000,153.04222639999998,52.042304400000006
1622347200000,153.97930540000004,52.979324733333335
1622348100000,157.61803873333335,56.60899926666666
1622349000000,151.33980526666667,50.3764204
1622349900000,153.0636616,52.06793206666667
1622350800000,153.63314419999998,52.629871200000004
1622351700000,149.9579145333333,48.954446600000004
1622352600000,157.74219206666663,56.73042513333334
1622353500000,153.34083626666668,52.323867666666665
1622354400000,155.4861858666667,54.48271799999999
1622355300000,152.5935306,51.58880033333333
1622356200000,150.46682073333332,49.49287806666666
1622357100000,158.69578833333335,57.682424000000005
1622358000000,152.79116873333334,51.79971140000001
1622358900000,156.47274646666665,55.48526926666667
1622359800000,151.27017873333338,50.2691164
1622360700000,160.9297853333333,59.93170633333334
1622361600000,152.20786319999996,51.193329866666666
1622362500000,151.61559473333332,50.6508374
1622363400000,156.58423906666667,55.588059466666664
1622364300000,152.40139433333334,51.3979462
1622365200000,155.31509286666667,54.2868442
1622366100000,148.96767906666668,47.937973400000004
1622367000000,155.53043653333333,54.515965200000004
1622367900000,160.61653873333336,59.624598466666676
1622368800000,157.02948846666666,56.03446026666666
1622369700000,159.91874246666663,58.93715246666667
1622370600000,153.05565793333332,52.03155746666666
1622371500000,157.1920204,56.182864
1622372400000,156.69114820000001,55.71834479999999
1622373300000,155.55987593333333,54.554226066666686
1622374200000,159.16933179999998,56.8644544
